"","Country","Ladder","GDP","Support","LifeExp","Freedom","PosAffect","NegAffect","Continent","AA","Asia","Africa","Americas"
"88","Myanmar",4.62311983108521,5305,0.793461978435516,57.2291793823242,0.877491176128387,0.804009914398193,0.301501393318176,"Asia",TRUE,TRUE,FALSE,FALSE
"89","Nepal",5.0995397567749,2299.43982597409,0.837043642997742,61.0563659667969,0.839488446712494,0.62735116481781,0.369661748409271,"Asia",TRUE,TRUE,FALSE,FALSE
"90","Netherlands",7.54087734222412,46964.6584527786,0.925944209098816,71.2672424316406,0.907310009002686,0.838432371616364,0.2148507386446,"Europe",FALSE,FALSE,FALSE,FALSE
"91","New Zealand",7.22568798065186,35158.6716752349,0.936602890491486,71.4731674194336,0.926576018333435,0.832944691181183,0.207413628697395,"Oceania",FALSE,FALSE,FALSE,FALSE
"92","Nicaragua",6.01273965835571,5045.37366968302,0.852702438831329,66.1049194335938,0.71653425693512,0.80512398481369,0.380347281694412,"North America",FALSE,FALSE,FALSE,TRUE
"93","Niger",4.23464584350586,908.790609971829,0.68282824754715,53.1518402099609,0.701927304267883,0.674858927726746,0.325441956520081,"Africa",TRUE,FALSE,TRUE,FALSE
"94","Nigeria",5.21956777572632,5536.41510888277,0.804766952991486,45.4705848693848,0.797690510749817,0.731986105442047,0.25183629989624,"Africa",TRUE,FALSE,TRUE,FALSE
"95","North Cyprus",5.8271279335022,31195.5,0.807690262794495,71.3,0.796233832836151,0.643664360046387,0.34646537899971,"Europe",FALSE,FALSE,FALSE,FALSE
"96","Norway",7.59633159637451,64123.8753791666,0.959742844104767,70.7845916748047,0.95435231924057,0.849625945091248,0.209262192249298,"Europe",FALSE,FALSE,FALSE,FALSE
"97","Pakistan",5.54850816726685,4858.86292222831,0.62692129611969,57.3980445861816,0.634182810783386,0.647639751434326,0.331616669893265,"Asia",TRUE,TRUE,FALSE,FALSE
"98","Palestinian Territories",4.90661811828613,4730.58612336399,0.817770957946777,62.9549942016602,0.607669413089752,0.592769145965576,0.377641797065735,"Asia",TRUE,TRUE,FALSE,FALSE
"99","Panama",6.1176381111145,21809.5400046593,0.882460236549377,67.8240127563477,0.884479761123657,0.85762357711792,0.244131788611412,"North America",FALSE,FALSE,FALSE,TRUE
"100","Paraguay",5.8013801574707,8789.54214901783,0.939866960048676,63.4112091064453,0.853534281253815,0.924560964107513,0.197176188230515,"South America",FALSE,FALSE,FALSE,TRUE
"101","Peru",5.70062875747681,11925.7880438115,0.8028564453125,65.2674865722656,0.829843878746033,0.821674764156342,0.338006854057312,"South America",FALSE,FALSE,FALSE,TRUE
"102","Philippines",5.430832862854,7262.84403557132,0.821298718452454,59.5945892333984,0.907595753669739,0.820969462394714,0.290232717990875,"Asia",TRUE,TRUE,FALSE,FALSE
"103","Poland",6.16207647323608,25591.1412556425,0.917398810386658,67.6621475219727,0.870707511901855,0.776624619960785,0.223536044359207,"Europe",FALSE,FALSE,FALSE,FALSE
"104","Portugal",5.44663715362549,27135.6300487994,0.904635369777679,70.7562789916992,0.838069319725037,0.683566212654114,0.326252728700638,"Europe",FALSE,FALSE,FALSE,FALSE
"105","Romania",5.96887063980103,20799.221188827,0.80922919511795,66.9484481811523,0.821720600128174,0.694415330886841,0.257763504981995,"Europe",FALSE,FALSE,FALSE,FALSE
"106","Russia",5.85494565963745,23442.5119749007,0.910927355289459,62.2074966430664,0.713606297969818,0.636298656463623,0.142497226595879,"Asia",TRUE,TRUE,FALSE,FALSE
"107","Rwanda",3.33298993110657,1728.88035162722,0.665130913257599,55.0908088684082,0.910736382007599,0.752310693264008,0.285384237766266,"Africa",TRUE,FALSE,TRUE,FALSE
"108","Saudi Arabia",6.47392129898071,50154.7899274613,0.889932334423065,63.8508605957031,0.774267733097076,0.792998552322388,0.266292661428452,"Asia",TRUE,TRUE,FALSE,FALSE
"109","Senegal",4.59453392028809,2367.88065365007,0.838994383811951,57.8877105712891,0.743729650974274,0.783817946910858,0.244851768016815,"Africa",TRUE,FALSE,TRUE,FALSE
"110","Serbia",5.75275468826294,13152.929593014,0.894894957542419,66.0674819946289,0.614370822906494,0.534827053546906,0.298126608133316,"Europe",FALSE,FALSE,FALSE,FALSE
"111","Sierra Leone",4.73295307159424,1561.23116847602,0.656723499298096,44.0107345581055,0.681202113628387,0.583939135074615,0.456180691719055,"Africa",TRUE,FALSE,TRUE,FALSE
"112","Singapore",6.03348064422607,80821.9612665456,0.925128221511841,76.4086990356445,0.903735637664795,0.823988735675812,0.110942468047142,"Asia",TRUE,TRUE,FALSE,FALSE
"113","Slovakia",5.99316310882568,28207.4429360951,0.945179104804993,68.1632537841797,0.700098514556885,0.774416089057922,0.232091575860977,"Europe",FALSE,FALSE,FALSE,FALSE
"114","Slovenia",5.93682146072388,29359.0573806084,0.934487342834473,70.8003082275391,0.90355110168457,0.626205563545227,0.271624177694321,"Europe",FALSE,FALSE,FALSE,FALSE
"115","Somalia",4.66794109344482,522.3,0.594416558742523,47.5627632141113,0.917322814464569,0.891423165798187,0.193282231688499,"Africa",TRUE,FALSE,TRUE,FALSE
"116","South Africa",4.76973962783813,12275.4151765109,0.875389754772186,50.1988639831543,0.774136424064636,0.785723626613617,0.301327764987946,"Africa",TRUE,FALSE,TRUE,FALSE
"117","South Korea",5.97056436538696,35170.0401564434,0.811163485050201,74.8541259765625,0.590956032276154,0.676223397254944,0.232732683420181,"Asia",TRUE,TRUE,FALSE,FALSE
"118","South Sudan",2.88811230659485,1739.38275562139,0.532151818275452,49.4006004333496,0.439919024705887,0.614770650863647,0.549256920814514,"Africa",TRUE,FALSE,TRUE,FALSE
"119","Spain",6.31861209869385,33785.9454033938,0.941736817359924,73.9597244262695,0.76817375421524,0.652816116809845,0.300829350948334,"Europe",FALSE,FALSE,FALSE,FALSE
"120","Sweden",7.36874437332153,46365.1650631146,0.912060678005219,71.9614486694336,0.91803640127182,0.815695106983185,0.200606912374496,"Europe",FALSE,FALSE,FALSE,FALSE
"121","Switzerland",7.45851993560791,55133.4002335117,0.9276282787323,72.9570999145508,0.933947086334229,0.779470801353455,0.206316724419594,"Europe",FALSE,FALSE,FALSE,FALSE
"122","Taiwan Province of China",6.51285076141357,32529.9,0.894989252090454,70.9800033569336,0.718925178050995,0.833152890205383,0.108305417001247,"Asia",TRUE,TRUE,FALSE,FALSE
"123","Tajikistan",5.10372114181519,2662.17695521812,0.856656968593597,61.7590446472168,0.7030268907547,0.644484639167786,0.219799667596817,"Asia",TRUE,TRUE,FALSE,FALSE
"124","Tanzania",2.90273427963257,2610.6409767967,0.637755930423737,56.473747253418,0.775484919548035,0.693552374839783,0.245985954999924,"Africa",TRUE,FALSE,TRUE,FALSE
"125","Thailand",6.07363986968994,15675.7938526832,0.907543659210205,65.7995529174805,0.924145698547363,0.834758341312408,0.217879667878151,"Asia",TRUE,TRUE,FALSE,FALSE
"126","Togo",3.87857842445374,1414.53843601044,0.509440958499908,52.3298988342285,0.730286777019501,0.60424417257309,0.482885897159576,"Africa",TRUE,FALSE,TRUE,FALSE
"127","Tunisia",4.52145338058472,10810.7441342998,0.701822102069855,64.5618133544922,0.614438354969025,0.612341105937958,0.378108263015747,"Africa",TRUE,FALSE,TRUE,FALSE
"128","Turkey",5.32622194290161,19415.74042827,0.879994630813599,65.5972366333008,0.644146740436554,0.465150654315948,0.389962941408157,"Asia",TRUE,TRUE,FALSE,FALSE
"129","Turkmenistan",5.88705158233643,16109.7590434524,0.929032266139984,58.5622100830078,0.748504400253296,0.636388659477234,0.255499243736267,"Asia",TRUE,TRUE,FALSE,FALSE
